Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
192.168.68.67,,239.255.255.250,,2,Facebook,Email
192.168.68.67,,239.255.255.250,,2,Facebook,Email
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Chat
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
192.168.68.78,63592,172.217.194.190,443,17,ICQ,
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Skype,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,
192.168.68.78,63592,172.217.194.190,443,17,ICQ,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Email,File Transfer
192.168.68.78,55462,74.125.68.94,443,17,ICQ,Streaming
74.125.68.94,443,192.168.68.78,55462,17,Email,Chat
74.125.68.94,443,192.168.68.78,55462,17,Gmail,Streaming
192.168.68.78,55462,74.125.68.94,443,17,ICQ,Streaming
192.168.68.78,57444,74.125.200.95,443,17,ICQ,Streaming
192.168.68.78,57444,74.125.200.95,443,17,ICQ,
74.125.68.94,443,192.168.68.78,55462,17,Email,Streaming
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
192.168.68.78,57444,74.125.200.95,443,17,ICQ,Streaming
74.125.200.95,443,192.168.68.78,57444,17,Gmail,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
192.168.68.78,57444,74.125.200.95,443,17,ICQ,Streaming
192.168.68.78,61378,142.251.10.190,443,6,Hangouts,Chat
142.251.10.190,443,192.168.68.78,61378,6,SFTP,Chat
142.251.10.190,443,192.168.68.78,61378,6,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,Email,Chat
142.251.10.190,443,192.168.68.78,61378,6,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,Email,Chat
74.125.200.95,443,192.168.68.78,57444,17,Email,Chat
192.168.68.78,61378,142.251.10.190,443,6,ICQ,Chat
192.168.68.78,61378,142.251.10.190,443,6,Facebook,Chat
192.168.68.78,61378,142.251.10.190,443,6,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,Email,Chat
142.251.10.190,443,192.168.68.78,61378,6,ICQ,Chat
192.168.68.78,61378,142.251.10.190,443,6,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,SFTP,Chat
142.251.10.190,443,192.168.68.78,61378,6,SFTP,Chat
142.251.10.190,443,192.168.68.78,61378,6,Email,Chat
142.251.10.190,443,192.168.68.78,61378,6,SCP,Chat
142.251.10.190,443,192.168.68.78,61378,6,ICQ,Chat
192.168.68.78,61378,142.251.10.190,443,6,ICQ,Chat
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Chat
142.251.10.190,443,192.168.68.78,60110,17,Skype,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Email,Streaming
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Chat
142.251.10.190,443,192.168.68.78,60110,17,Skype,Streaming
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Chat
142.251.10.190,443,192.168.68.78,61378,6,SFTP,Chat
142.251.10.190,443,192.168.68.78,60110,17,Skype,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Email,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Skype,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Email,Chat
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Chat
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Voip
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Voip
142.251.10.190,443,192.168.68.78,60110,17,Email,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Email,Streaming
192.168.68.78,60110,142.251.10.190,443,17,ICQ,Streaming
142.251.10.190,443,192.168.68.78,60110,17,Email,Chat
192.168.68.78,61379,142.251.175.100,443,6,ICQ,
142.251.175.100,443,192.168.68.78,61379,6,Email,Chat
142.251.175.100,443,192.168.68.78,61379,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,61379,6,ICQ,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Email,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Email,File Transfer
142.251.175.100,443,192.168.68.78,61379,6,Email,
192.168.68.78,61379,142.251.175.100,443,6,ICQ,Chat
192.168.68.78,61379,142.251.175.100,443,6,Facebook,Chat
192.168.68.78,61379,142.251.175.100,443,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Streaming
192.168.68.78,61379,142.251.175.100,443,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Streaming
142.251.175.100,443,192.168.68.78,61379,6,Email,Streaming
142.251.175.100,443,192.168.68.78,61379,6,Email,Streaming
192.168.68.78,61379,142.251.175.100,443,6,ICQ,Chat
192.168.68.78,53324,142.251.175.100,443,17,Skype,Chat
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
192.168.68.78,53324,142.251.175.100,443,17,ICQ,Chat
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
192.168.68.78,53324,142.251.175.100,443,17,ICQ,Chat
142.251.175.100,443,192.168.68.78,61379,6,Email,Chat
192.168.68.78,61380,142.251.175.100,443,6,ICQ,
103.41.69.241,443,192.168.68.78,63599,6,SCP,Chat
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Skype,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Email,File Transfer
192.168.68.78,53324,142.251.175.100,443,17,Email,Chat
142.251.175.100,443,192.168.68.78,61380,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,61380,6,Email,Streaming
142.251.175.100,443,192.168.68.78,61380,6,ICQ,Streaming
142.251.175.100,443,192.168.68.78,61380,6,ICQ,Streaming
142.251.175.100,443,192.168.68.78,61380,6,Email,Streaming
192.168.68.78,53324,142.251.175.100,443,17,ICQ,Voip
142.251.175.100,443,192.168.68.78,61380,6,AIM Chat,Chat
192.168.68.78,53324,142.251.175.100,443,17,ICQ,File Transfer
192.168.68.78,61380,142.251.175.100,443,6,ICQ,Chat
192.168.68.78,61380,142.251.175.100,443,6,SCP,Chat
192.168.68.78,53324,142.251.175.100,443,17,SFTP,File Transfer
142.251.175.100,443,192.168.68.78,53324,17,Gmail,Streaming
142.251.175.100,443,192.168.68.78,53324,17,Gmail,Streaming
192.168.68.78,53324,142.251.175.100,443,17,ICQ,Streaming
142.251.175.100,443,192.168.68.78,61380,6,SCP,Chat
192.168.68.78,61380,142.251.175.100,443,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,53324,17,Email,File Transfer
142.251.175.100,443,192.168.68.78,61380,6,Email,Streaming
142.251.175.100,443,192.168.68.78,61380,6,ICQ,Chat
142.251.175.100,443,192.168.68.78,61380,6,ICQ,Chat
