,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
0,44.227.198.172,443,172.30.139.64,65079,6,File Transfer,
2,172.30.139.64,65175,13.33.88.8,443,6,Streaming,
3,44.227.198.172,443,172.30.139.64,65079,6,Streaming,
4,172.30.139.64,65162,35.186.224.25,443,6,File Transfer,
5,172.30.139.64,65192,13.33.88.8,443,6,Streaming,
6,172.30.139.64,65176,35.186.224.25,443,6,Streaming,
7,172.30.139.64,64975,34.120.208.123,443,6,VoIP,
8,34.120.208.123,443,172.30.139.64,64975,6,Chat,
9,172.30.139.64,65210,13.33.88.8,443,6,Streaming,
10,172.30.139.64,65234,13.33.88.75,443,6,Streaming,
11,172.30.139.64,65193,35.186.224.25,443,6,File Transfer,
12,172.30.139.64,65235,35.186.224.25,443,6,Streaming,
13,172.30.139.64,65250,13.33.88.75,443,6,Streaming,
14,172.30.139.64,65237,35.186.224.25,443,6,Streaming,
15,172.30.139.64,65264,13.33.88.75,443,6,Streaming,
16,172.30.139.64,65279,13.33.88.8,443,6,Streaming,
17,172.30.139.64,65160,104.26.10.240,443,6,Gaming,
18,172.30.139.64,65251,35.186.224.25,443,6,File Transfer,
19,172.30.139.64,65281,13.83.65.43,443,6,Streaming,
20,23.49.60.103,443,172.30.139.64,65138,6,VoIP,
21,172.30.139.64,65304,13.33.88.8,443,6,Streaming,
22,172.30.139.64,65236,152.195.38.76,80,6,Gaming,
23,172.30.139.64,65318,13.33.88.8,443,6,Streaming,
24,142.251.10.102,443,172.30.139.64,64804,6,Chat,
25,172.30.139.64,65058,172.217.194.94,443,6,Chat,
26,172.30.139.64,52704,35.186.224.47,443,6,Streaming,
27,172.30.139.64,65319,20.44.239.154,443,6,Streaming,
28,142.250.4.95,443,172.30.139.64,64866,6,Chat,
29,172.30.139.64,52788,35.186.224.39,443,6,Streaming,
30,40.99.33.178,443,172.30.139.64,64906,6,VoIP,
31,40.99.8.194,443,172.30.139.64,64040,6,VoIP,
32,172.30.139.64,0,142.251.10.102,0,0,Streaming,
33,40.99.10.34,443,172.30.139.64,60282,6,VoIP,
34,172.30.139.64,57621,172.30.139.255,57621,17,Streaming,
35,172.30.139.64,65334,13.33.88.8,443,6,Streaming,
36,172.30.139.64,51663,52.114.16.78,443,6,File Transfer,
37,172.30.139.64,65196,152.199.43.62,443,6,Gaming,
38,172.30.139.64,65195,52.123.128.254,443,6,Streaming,
39,172.30.139.64,65135,52.168.117.169,443,6,VoIP,
40,172.30.139.64,63120,91.108.56.148,443,6,Chat,
41,172.30.139.64,65130,13.107.6.158,443,6,Streaming,
42,172.30.139.64,51698,52.114.16.77,443,6,Streaming,
43,172.30.139.64,65194,204.79.197.254,443,6,Streaming,
44,172.30.139.64,65139,204.79.197.222,443,6,Streaming,
45,172.30.139.64,65126,204.79.197.200,443,6,Streaming,
46,172.30.139.64,51658,35.186.224.47,443,6,Streaming,
47,172.30.139.64,63940,140.82.114.26,443,6,File Transfer,
48,172.30.139.64,65333,162.159.136.232,443,6,Streaming,
49,172.30.139.64,65350,13.33.88.75,443,6,Streaming,
50,172.30.139.64,63514,35.186.227.140,443,6,Streaming,
51,142.251.12.100,443,172.30.139.64,64846,6,File Transfer,
52,172.30.139.64,65280,44.227.198.172,443,6,Chat,
53,44.227.198.172,443,172.30.139.64,65280,6,Chat,
54,13.83.65.43,443,172.30.139.64,64460,6,Streaming,
55,172.30.139.64,65364,13.33.88.75,443,6,Streaming,
56,172.30.139.64,65077,172.217.194.95,443,6,File Transfer,
57,162.159.133.234,443,172.30.139.64,59649,6,Streaming,
58,172.30.139.64,65378,13.33.88.75,443,6,Streaming,
59,172.30.139.64,0,40.99.10.34,0,0,File Transfer,
60,172.30.139.64,0,142.250.4.95,0,0,File Transfer,
61,52.98.65.18,443,172.30.139.64,60604,6,Streaming,
62,172.30.139.64,51662,20.89.134.221,443,6,Streaming,
63,172.30.139.64,65391,13.33.88.75,443,6,Streaming,
64,172.30.139.64,65177,142.250.4.95,443,6,Streaming,
65,172.30.139.64,65178,142.250.4.95,443,6,Streaming,
66,172.30.139.64,65177,142.250.4.95,443,6,VoIP,
67,172.30.139.64,65178,142.250.4.95,443,6,VoIP,
70,142.250.4.95,443,172.30.139.64,65178,6,Streaming,
71,142.250.4.95,443,172.30.139.64,65177,6,Streaming,
72,172.30.139.64,0,172.217.194.95,0,0,Streaming,
73,172.30.139.64,0,142.251.12.100,0,0,Streaming,
74,172.30.139.64,51657,104.199.240.237,4070,6,Streaming,
75,172.30.139.64,0,13.83.65.43,0,0,File Transfer,
76,172.30.139.64,65407,13.33.88.75,443,6,Streaming,
77,172.30.139.64,65196,152.199.43.62,443,6,Email,
78,172.30.139.64,65266,40.99.10.50,443,6,Chat,
79,172.30.139.64,65215,142.251.12.84,443,6,Streaming,
80,172.30.139.64,65215,142.251.12.84,443,6,VoIP,
81,142.251.12.84,443,172.30.139.64,65215,6,Chat,
