Source IP,Source Port,Destination IP,Destination Port,Protocol,App Label,Traffic Label
192.168.68.67,,239.255.255.250,,2,Email,Email
192.168.68.67,,239.255.255.250,,2,Email,Email
192.168.68.78,63592,172.217.194.190,443,17,Spotify,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Chat
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
192.168.68.78,63592,172.217.194.190,443,17,Spotify,Gaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
192.168.68.78,63592,172.217.194.190,443,17,Spotify,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
192.168.68.78,63592,172.217.194.190,443,17,Spotify,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Discord,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
172.217.194.190,443,192.168.68.78,63592,17,Youtube,Streaming
