,Source IP,Source Port,Destination IP,Destination Port,Protocol,Traffic Label,App Label
0,192.168.68.71,49840,20.38.122.68,443,6,Email,
1,192.168.68.71,50373,188.42.147.101,443,6,Gaming,
2,192.168.68.71,50376,188.42.147.101,443,6,Gaming,
3,192.168.68.71,50227,23.202.34.131,443,6,Gaming,
4,192.168.68.71,50312,104.18.30.103,443,6,File Transfer,
5,104.18.30.103,443,192.168.68.71,50312,6,Chat,
6,192.168.68.71,50147,20.205.248.73,443,6,Streaming,
7,192.168.68.71,50389,188.42.147.101,443,6,Gaming,
8,188.42.147.101,443,192.168.68.71,50389,6,Chat,
9,192.168.68.71,50355,152.195.38.76,80,6,Chat,
10,192.168.68.71,50354,104.18.14.101,80,6,Chat,
11,192.168.68.71,50390,188.42.147.101,443,6,Gaming,
12,192.168.68.71,50124,23.50.87.250,443,6,Gaming,
13,192.168.68.71,50123,23.50.87.250,443,6,Streaming,
14,192.168.68.71,50128,23.50.87.250,443,6,Streaming,
15,192.168.68.71,50127,23.50.87.250,443,6,Streaming,
16,192.168.68.71,50126,23.50.87.250,443,6,Streaming,
17,192.168.68.71,50393,188.42.147.101,443,6,Gaming,
18,192.168.68.71,50394,52.137.106.217,443,6,VoIP,
19,52.137.106.217,443,192.168.68.71,50394,6,Gaming,
20,192.168.68.71,50395,52.137.106.217,443,6,VoIP,
21,192.168.68.71,50330,104.83.196.8,443,6,Streaming,
22,192.168.68.71,50331,104.65.228.8,443,6,Streaming,
23,192.168.68.71,50329,104.83.196.8,443,6,Streaming,
24,192.168.68.71,50323,104.83.196.8,443,6,Streaming,
25,192.168.68.71,50325,104.83.196.8,443,6,Streaming,
26,192.168.68.71,50319,13.107.5.91,443,6,Streaming,
27,192.168.68.71,50329,104.83.196.8,443,6,Gaming,
28,192.168.68.71,50330,104.83.196.8,443,6,Gaming,
29,192.168.68.71,50397,188.42.147.101,443,6,Gaming,
30,192.168.68.71,50321,20.109.167.1,443,6,Email,
31,192.168.68.71,50320,20.109.167.1,443,6,Email,
